name,allegiances,death year,book of death,death chapter,book intro chapter,gender,nobility,got,cok,sos,ffc,dwd,S.No,actual,pred,alive,plod,title,male,culture,dateOfBirth,DateoFdeath,mother,father,heir,house,spouse,book1,book2,book3,book4,book5,isAliveMother,isAliveFather,isAliveHeir,isAliveSpouse,isMarried,isNoble,age,numDeadRelations,boolDeadRelations,isPopular,popularity,isAlive
Alester Florent,Baratheon,300.0,4.0,,36.0,1,1,0,1,1,0,0,1629,0,0,0.09,0.91,Brightwater,1,,,300.0,,,,House Florent,Melara Crane,0,1,1,0,1,,,,1.0,1,1,,0,0,0,0.327759197,0
Alla Tyrell,House Tyrell,,,,6.0,0,1,0,0,1,1,0,889,1,1,0.9690000000000001,0.031,,0,,286.0,,,,,House Tyrell,,0,0,1,1,1,,,,,0,0,19.0,0,0,0,0.150501672,1
Allard Seaworth,Baratheon,299.0,2.0,10.0,10.0,1,1,0,1,0,0,0,887,0,1,0.7709999999999999,0.22899999999999998,Lady Marya,1,,,299.0,,,,House Seaworth,,0,1,1,1,1,,,,,0,1,,0,0,0,0.063545151,0
Alliser Thorne,Night's Watch,,,,19.0,1,0,1,1,1,0,1,1628,1,0,0.11,0.89,Ser,1,,,,,,,House Thorne,,1,1,1,1,1,,,,,0,1,,0,0,0,0.23076923100000002,1
Alyn,House Stark,298.0,3.0,34.0,12.0,1,0,1,0,0,0,0,1627,0,0,0.17,0.83,,1,,,298.0,,,,House Stark,,1,1,1,0,1,,,,,0,0,,0,0,0,0.073578595,0
Alyn Ambrose,Tyrell,,,,59.0,1,1,0,1,0,1,0,893,1,1,0.733,0.267,,1,,,,,,,House Ambrose,,0,1,1,1,1,,,,,0,0,,0,0,0,0.033444816,1
Alyn Estermont,Baratheon,,,,,1,1,0,1,1,0,0,894,1,1,0.691,0.309,Ser,1,Stormlands,,,,,,House Estermont,,0,1,1,1,1,,,,,0,1,,0,0,0,0.026755853,1
Alyn Stackspear,Lannister,,,,16.0,1,1,0,0,0,1,0,895,1,1,0.523,0.47700000000000004,Ser,0,,,,,,,House Stackspear,,1,1,1,1,1,,,,,0,1,,0,0,0,0.026755853,1
Alys Karstark,Stark,,,,44.0,0,1,0,0,0,0,1,1189,1,1,0.797,0.203,,0,Northmen,284.0,,,,,House Karstark,Sigorn,0,0,1,1,1,,,,1.0,1,0,21.0,0,0,0,0.157190635,1
Alysane Mormont,Stark,,,,35.0,0,1,0,0,0,0,1,1630,1,1,0.892,0.10800000000000001,,0,Northmen,273.0,,,,,House Mormont,,0,0,0,1,1,,,,,0,0,32.0,0,0,0,0.070234114,1
Alyx Frey,None,,,,49.0,1,1,0,0,1,0,0,902,1,1,0.797,0.203,,0,,282.0,,,,,House Frey,,0,1,1,1,0,,,,,0,0,23.0,0,0,0,0.143812709,1
Ambrode,Greyjoy,,,,24.0,1,0,0,1,0,0,0,316,1,1,0.976,0.024,,0,Ironborn,,,,,,,,0,1,0,0,0,,,,,0,0,,0,0,0,0.003344482,1
Amory Lorch,House Lannister,299.0,2.0,47.0,14.0,1,1,0,1,0,0,0,1634,0,0,0.40399999999999997,0.596,Ser,1,,,299.0,,,,House Lorch,,1,1,1,1,1,,,,,0,1,,0,0,0,0.277591973,0
Andar Royce,Arryn,,,,29.0,1,1,1,0,0,0,0,905,1,0,0.307,0.693,Ser,1,Valemen,,,,,,House Royce,,1,1,1,1,1,,,,,0,1,,0,0,0,0.040133779,1
Andrew Estermont,Baratheon,,,,36.0,1,1,0,0,1,0,0,908,1,1,0.813,0.187,Ser,1,,,,,,,House Estermont,,0,1,1,1,1,,,,,0,1,,0,0,0,0.036789298,1
Andrey Dalt,Martell,,,,21.0,1,1,0,0,0,1,0,317,1,1,0.593,0.40700000000000003,Ser,0,Dornish,,,,,,House Dalt,,0,0,0,1,0,,,,,0,1,,0,0,0,0.036789298,1
Andrik,Greyjoy,,,,19.0,1,1,0,0,0,1,0,1633,1,1,0.9670000000000001,0.033,Lord of Southshield,1,Ironborn,,,,,,House Drumm,,0,1,1,1,1,,,,,0,1,,0,0,0,0.043478261,1
Anguy,None,,,,30.0,1,0,1,0,1,0,0,1632,1,1,0.6659999999999999,0.33399999999999996,,1,,,,,,,Brotherhood without banners,,1,0,1,1,0,,,,,0,0,,0,0,0,0.130434783,1
Antario Jast,Lannister,,,,32.0,1,1,0,1,0,0,0,907,1,0,0.467,0.5329999999999999,Lord,1,,,,,,,House Jast,Lanna Lannister,0,1,1,1,1,,,,1.0,1,1,,0,0,0,0.080267559,1
Anya Waynwood,Arryn,,,,38.0,0,1,1,0,0,1,0,911,1,1,0.76,0.24,Ironoaks,0,,,,,,,House Waynwood,,1,1,1,1,1,,,,,0,1,,0,0,0,0.086956522,1
Archibald Yronwood,Martell,,,,6.0,1,1,0,0,0,0,1,1635,1,0,0.055,0.945,Ser,1,,,,,,,House Yronwood,,0,0,0,0,1,,,,,0,1,,0,0,0,0.140468227,1
Ardrian Celtigar,Baratheon,,,,10.0,1,1,0,1,1,0,0,910,1,0,0.131,0.8690000000000001,Claw Isle,1,,229.0,,,,,House Celtigar,,0,1,1,0,0,,,,,0,1,76.0,0,0,0,0.043478261,1
Areo Hotah,House Martell,,,,2.0,1,0,0,0,0,1,1,1637,1,1,0.638,0.36200000000000004,Sunspear,1,Norvos,257.0,,,,,House Martell,,1,1,1,1,1,,,,,0,1,48.0,0,0,0,0.25752508399999996,1
Arianne Martell,House Martell,,,,2.0,0,1,0,0,0,1,1,1899,1,0,0.46299999999999997,0.537,Princess,0,Dornishmen,276.0,,,,,House Martell,,1,1,1,1,1,,,,,0,1,29.0,0,0,1,0.571906355,1
Arneld,Lannister,,,,59.0,1,0,0,1,0,0,0,321,1,1,0.767,0.233,Ser,1,,,,,,,,,0,1,0,0,0,,,,,0,1,,0,0,0,0.003344482,1
Arnolf Karstark,Stark,,,,3.0,1,1,0,0,0,0,1,1466,1,0,0.46399999999999997,0.536,Karhold,1,Northmen,,,,,,House Karstark,,0,0,0,1,1,,,,,0,1,,0,0,0,0.137123746,1
Aron Santagar,Lannister,299.0,2.0,41.0,18.0,1,1,1,1,0,0,0,1642,0,1,0.5529999999999999,0.447,Ser,1,Dornish,,299.0,,,,House Santagar,,1,1,0,1,0,,,,,0,1,,0,0,0,0.066889632,0
Arron,Night's Watch,,,,75.0,1,0,0,0,1,0,1,324,1,1,0.7040000000000001,0.29600000000000004,,1,,,,,,,Night's Watch,,0,0,1,1,1,,,,,0,0,,0,0,0,0.043478261,1
Arron Qorgyle,Martell,,,,38.0,1,1,0,0,1,0,0,326,1,0,0.435,0.565,Ser,1,,,,,,,House Qorgyle,,0,0,1,1,0,,,,,0,1,,0,0,0,0.023411371,1
Arson,Wildling,,,,26.0,1,0,0,0,1,0,0,327,1,1,0.537,0.46299999999999997,,1,Free Folk,,,,,,,,0,0,1,0,0,,,,,0,0,,0,0,0,0.0,1
Arthor Karstark,Stark,,,,62.0,1,1,0,0,0,0,1,915,1,0,0.059000000000000004,0.941,,1,Northmen,,,,,,House Karstark,,0,0,0,0,1,,,,,0,0,,0,0,0,0.043478261,1
Arwyn Frey,None,,,,49.0,0,1,0,0,1,0,0,916,1,1,0.747,0.253,,0,,285.0,,,,,House Frey,,0,1,1,1,1,,,,,0,0,20.0,0,0,0,0.046822742,1
Arwyn Oakheart,Tyrell,,,,22.0,0,1,0,1,0,0,0,1638,1,0,0.092,0.9079999999999999,Old Oak,1,,,,,,,House Oakheart,,1,1,1,1,1,,,,,0,1,,0,0,0,0.036789298,1
Arya Stark,Stark,,,,2.0,0,1,1,1,1,1,1,1467,1,0,0.315,0.685,Princess,0,Northmen,289.0,,,,,House Stark,,1,1,1,1,1,,,,,0,1,16.0,8,1,1,1.0,1
Arys Oakheart,Lannister,300.0,4.0,21.0,57.0,1,1,1,1,0,1,0,1640,0,0,0.248,0.752,Ser,1,Reach,,300.0,,,,House Oakheart,,1,1,1,1,1,,,,,0,1,,0,0,1,0.344481605,0
Asha Greyjoy,House Greyjoy,,,,11.0,0,1,0,1,0,1,1,1643,1,0,0.365,0.635,Black Wind,0,Ironborn,275.0,,,,,House Greyjoy,Erik Ironmaker,1,1,0,1,1,,,,1.0,1,1,30.0,0,0,1,0.7090301,1
Aurane Waters,Lannister,,,,65.0,1,0,0,1,0,1,0,1469,1,0,0.055,0.945,master of ships,1,Valyrian,277.0,,,,,House Velaryon,,0,1,1,1,1,,,,,0,1,28.0,0,0,1,0.377926421,1
Axell Florent,Baratheon,,,,0.0,1,1,0,1,1,0,1,1468,1,1,0.552,0.44799999999999995,Ser,1,,,,,,,House Florent,,0,1,1,1,1,,,,,0,1,,1,1,0,0.307692308,1
Azzak,None,,,,2.0,1,1,0,0,0,0,1,920,1,1,0.9790000000000001,0.021,Cupbearer,0,Ghiscari,,,,,,House of Ghazeen,,0,0,0,0,1,,,,,0,1,,0,0,0,0.016722408,1
Ballabar,Lannister,,,,4.0,1,0,0,1,0,0,0,1648,1,1,0.9390000000000001,0.061,Maester,1,,,,,,,House Redwyne,,0,1,1,1,1,,,,,0,1,,0,0,0,0.030100334,1
Balon Swann,Lannister,,,,29.0,1,1,1,1,1,1,1,1650,1,0,0.494,0.506,Ser,1,Stormlander,,,,,,House Swann,,1,1,1,1,1,,,,,0,1,,0,0,0,0.311036789,1
Bannen,Night's Watch,299.0,3.0,33.0,0.0,1,0,0,0,1,0,0,335,0,0,0.21,0.79,,1,,,299.0,,,,Night's Watch,,0,1,1,0,0,,,,,0,0,,0,0,0,0.033444816,0
Barbrey Dustin,Stark,,,,26.0,0,1,0,0,0,0,1,1653,1,0,0.46799999999999997,0.532,Barrowton,0,Northmen,,,,,,House Ryswell,Willam Dustin,0,0,0,1,1,,,,0.0,1,1,,0,0,0,0.16387959900000001,1
Barra,None,299.0,2.0,39.0,35.0,0,0,1,0,0,0,0,1922,0,0,0.115,0.885,,1,,298.0,299.0,,,,House Baratheon,,1,1,0,0,1,,,,,0,0,1.0,1,1,0,0.107023411,0
Barristan Selmy,Targaryen,,,,15.0,1,1,1,1,1,0,1,1652,1,1,0.586,0.414,Ser,1,Westeros,236.0,,,,,House Selmy,,1,1,1,1,1,,,,,0,1,69.0,0,0,1,1.0,1
Barth (brewer),House Stark,,,,50.0,1,0,0,1,0,0,0,338,1,1,0.882,0.11800000000000001,,1,,,,,,,House Stark,,0,1,0,0,0,,,,,0,0,,0,0,0,0.003344482,1
Bass,Night's Watch,,,,52.0,1,0,1,0,0,0,0,339,1,1,0.6759999999999999,0.324,,0,,,,,,,Night's Watch,,1,0,0,0,0,,,,,0,0,,0,0,0,0.0,1
Bayard Norcross,Tyrell,,,,28.0,1,1,0,0,0,1,0,924,1,1,0.805,0.195,Ser,0,,,,,,,House Norcross,,0,0,0,1,1,,,,,0,1,,0,0,0,0.02006689,1
Bearded Ben,Night's Watch,,,,,1,0,0,0,0,1,0,340,1,1,0.983,0.017,,1,,,,,,,Night's Watch,,0,0,0,1,1,,,,,0,0,,0,0,0,0.023411371,1
Becca,House Arryn,,,,12.0,0,0,1,0,0,0,0,341,1,1,0.6890000000000001,0.311,,1,,,,,,,House Arryn,,1,0,0,0,0,,,,,0,0,,0,0,0,0.003344482,1
Bedwyck,Night's Watch,,,,13.0,1,0,0,1,1,0,1,925,1,1,0.76,0.24,,1,,,,,,,Night's Watch,,0,1,1,1,1,,,,,0,0,,0,0,0,0.050167224,1
Bella,None,,,,29.0,0,0,0,0,1,0,0,347,1,1,0.816,0.184,,0,,283.0,,,,,,,0,0,1,1,0,,,,,0,0,22.0,0,0,0,0.08361204,1
Bellonara Otherys,None,,,,34.0,0,1,0,0,0,1,0,346,1,1,0.988,0.012,,0,Braavosi,,,,,,,,0,0,0,1,0,,,,,0,0,,0,0,0,0.013377926000000002,1
Belwas,House Targaryen,,,,63.0,1,0,0,1,1,0,1,1656,1,1,0.875,0.125,,1,Meereenese,,,,,,House Targaryen,,0,1,1,1,1,,,,,0,0,,0,0,0,0.143812709,1
Ben,None,,,,37.0,1,0,0,0,0,1,0,348,1,1,0.983,0.017,,1,,293.0,,,,,,,0,0,0,1,0,,,,,0,0,12.0,0,0,0,0.010033445,1
Ben Bones,None,,,,12.0,1,0,0,0,0,0,1,350,1,0,0.371,0.629,,1,,,,,,,House Bolton,,0,0,0,0,1,,,,,0,0,,0,0,0,0.033444816,1
Ben Plumm,None,,,,57.0,1,0,0,0,1,0,1,1470,1,1,0.741,0.259,Commander of the Second Sons,1,,,,,,,Second Sons,,0,0,1,1,1,,,,,0,1,,0,0,0,0.140468227,1
Benedar Belmore,Arryn,,,,23.0,1,1,0,0,0,1,0,928,1,1,0.835,0.165,Strongsong,1,,,,,,,House Belmore,,0,0,0,1,1,,,,,0,1,,0,0,0,0.026755853,1
Benfred Tallhart,Stark,299.0,2.0,37.0,16.0,1,1,0,1,0,0,0,1471,0,1,0.674,0.326,,1,Northmen,281.0,299.0,,,,House Tallhart,,0,1,1,1,1,,,,,0,0,18.0,0,0,0,0.070234114,0
Benfrey Frey,None,299.0,5.0,51.0,51.0,1,1,0,0,1,0,0,931,0,1,0.7490000000000001,0.251,Ser,1,,271.0,299.0,,,,House Frey,Jyanna Frey,0,1,1,1,1,,,,1.0,1,1,28.0,0,0,0,0.073578595,0
Benjen Stark,Night's Watch,298.0,1.0,24.0,5.0,1,1,1,0,0,0,0,1657,1,0,0.062,0.938,First Ranger,1,Northmen,267.0,,,,,House Stark,,1,1,1,1,1,,,,,0,1,38.0,5,1,1,0.40133779299999994,1
Bennet,None,300.0,4.0,31.0,31.0,1,0,0,0,0,1,0,355,1,1,0.981,0.019,Septon,0,,,,,,,,,0,0,0,1,0,,,,,0,0,,0,0,0,0.006688963000000001,1
Beric Dondarrion,None,300.0,4.0,27.0,42.0,1,1,1,0,1,0,0,1659,0,0,0.41,0.59,Lord of Blackhaven,1,,276.0,299.0,,,,,,1,1,1,1,1,,,,,0,1,23.0,0,0,1,0.434782609,0
Bessa (Winterfell),Stark,,,,37.0,0,0,1,0,0,0,0,362,1,1,0.693,0.307,,0,Northmen,,,,,,,,1,0,0,0,0,,,,,0,0,,0,0,0,0.003344482,1
Beth Cassel,Stark,,,,7.0,0,1,1,1,0,0,0,934,1,0,0.135,0.865,,0,Northmen,289.0,,,,,House Cassel,,1,1,1,1,1,,,,,0,0,16.0,0,0,0,0.070234114,1
Bhakaz zo Loraq,None,,,,2.0,1,1,0,0,0,0,1,936,1,1,0.982,0.018000000000000002,Cupbearer,1,Ghiscari,,,,,,House of Loraq,,0,0,0,0,1,,,,,0,1,,0,0,0,0.003344482,1
Big Boil,Wildling,,,,41.0,1,0,0,0,1,0,0,367,1,1,0.983,0.017,,1,Free Folk,,,,,,,,0,0,1,1,0,,,,,0,0,,0,0,0,0.006688963000000001,1
Biter,None,300.0,4.0,37.0,1.0,1,0,0,1,0,1,0,1660,0,0,0.084,0.9159999999999999,,1,,,300.0,,,,Brave Companions,,0,1,1,1,0,,,,,0,0,,0,0,0,0.127090301,0
Black Bernarr,Night's Watch,,,,18.0,1,0,0,0,1,0,1,939,1,1,0.951,0.049,,1,,,,,,,Night's Watch,,0,0,1,1,1,,,,,0,0,,0,0,0,0.02006689,1
Blane,Night's Watch,,,,23.0,1,0,0,1,0,0,0,369,1,1,0.813,0.187,,1,,,,,,,Night's Watch,,0,1,1,0,0,,,,,0,0,,0,0,0,0.02006689,1
Bloodbeard,None,,,,25.0,1,0,0,0,0,0,1,1474,1,0,0.187,0.813,,0,,,,,,,Company of the Cat,,0,0,0,0,1,,,,,0,0,,0,0,0,0.090301003,1
Blue Bard,House Tyrell,,,,12.0,1,0,0,0,0,1,0,256,1,1,0.9059999999999999,0.094,,1,,,,,,,House Tyrell,,0,0,0,1,1,,,,,0,0,,0,0,0,0.053511706,1
Bonifer Hasty,Lannister,,,,65.0,1,1,0,1,0,1,0,1664,1,1,0.715,0.285,Ser,1,,,,,,,House Hasty,,0,1,1,1,1,,,,,0,1,,0,0,0,0.053511706,1
Borcas,Night's Watch,,,,48.0,1,0,1,0,0,0,0,371,1,1,0.7090000000000001,0.29100000000000004,,1,,,,,,,Night's Watch,,1,0,0,0,0,,,,,0,0,,0,0,0,0.0,1
Boremund Harlaw,Greyjoy,,,,11.0,1,1,0,0,0,1,0,941,1,1,0.9159999999999999,0.084,Harridan Hill,1,Ironborn,,,,,,House Harlaw of Harridan Hill,,0,0,0,1,1,,,,,0,1,,0,0,0,0.063545151,1
Boros Blount,Baratheon,,,,8.0,1,1,1,1,1,1,1,1472,1,0,0.49700000000000005,0.503,Ser,1,,,,,,,House Blount,,1,1,1,1,1,,,,,0,1,,0,0,0,0.21739130399999998,1
Borroq,Wildling,,,,0.0,1,0,0,0,0,0,1,373,1,0,0.212,0.7879999999999999,,1,Free folk,,,,,,,,0,0,0,0,1,,,,,0,0,,0,0,0,0.026755853,1
Bowen Marsh,Night's Watch,,,,21.0,1,0,1,0,1,0,1,1663,1,0,0.423,0.5770000000000001,Lord Steward,1,,,,,,,Night's Watch,,1,1,1,1,1,,,,,0,1,,0,0,0,0.254180602,1
Bran Stark,House Stark,,,,1.0,1,1,1,1,1,0,1,1475,1,0,0.289,0.711,Prince of Winterfell,1,Northmen,290.0,,,,,House Stark,,1,1,1,1,1,,,,,0,1,15.0,7,1,1,1.0,1
Brandon Norrey,Stark,,,,49.0,1,1,0,0,0,0,1,1662,1,0,0.049,0.951,The NorreyLord Norrey,1,Northern mountain clans,,,,,,House Norrey,,0,0,0,1,1,,,,,0,1,,0,0,0,0.030100334,1
Brenett,None,,,,49.0,1,0,0,0,1,0,0,382,1,1,0.866,0.134,Maester,1,,,,,,,House Frey,,0,0,1,0,0,,,,,0,1,,0,0,0,0.003344482,1
Bronn,Lannister,,,,28.0,1,1,1,1,1,0,0,1476,1,0,0.062,0.938,Ser,1,,264.0,,,,,House Stokeworth,Lollys Stokeworth,1,1,1,1,1,,,,1.0,1,1,41.0,0,0,1,0.47157190600000004,1
Brown Bernarr,Night's Watch,299.0,3.0,33.0,23.0,1,0,0,1,1,0,0,386,0,1,0.746,0.254,,0,,,299.0,,,,Night's Watch,,0,1,1,0,0,,,,,0,0,,0,0,0,0.023411371,0
Brusco,None,,,,22.0,1,0,0,0,0,1,1,385,1,1,0.7829999999999999,0.217,,1,Braavosi,,,,,,,,0,0,0,1,1,,,,,0,0,,0,0,0,0.046822742,1
Bryan Fossoway,Baratheon,299.0,2.0,62.0,42.0,1,1,1,1,0,0,0,945,0,1,0.532,0.46799999999999997,Ser,1,,,299.0,,,,House Fossoway of Cider Hall,,0,1,0,0,0,,,,,0,1,,0,0,0,0.026755853,0
Bryce Caron,Baratheon,299.0,2.0,65.0,29.0,1,1,1,1,0,0,0,1477,0,0,0.16699999999999998,0.833,Nightsong,1,,,299.0,,,,House Caron,,1,1,0,0,1,,,,,0,1,,0,0,0,0.066889632,0
Bryen,None,,,,68.0,1,0,0,0,1,0,0,388,1,1,0.8909999999999999,0.109,,1,,220.0,,,,,House Baelish,,0,0,1,0,0,,,,,0,0,85.0,0,0,0,0.016722408,1
Bryen Farring,Baratheon,300.0,5.0,62.0,10.0,1,1,0,1,0,0,1,947,0,1,0.7290000000000001,0.271,,1,,,300.0,,,,House Farring,,0,1,1,1,1,,,,,0,0,,0,0,0,0.033444816,0
Brynden Rivers,House Targaryen,,,,34.0,1,1,0,0,0,0,1,1666,0,0,0.185,0.815,Ser,1,Valyrian,175.0,252.0,,,,House Targaryen,,0,0,0,1,1,,,,,0,1,77.0,4,1,1,0.605351171,0
Brynden Tully,House Tully,,,,2.0,1,1,1,1,1,1,0,1667,1,0,0.096,0.904,Ser,1,Rivermen,242.0,,,,,House Tully,,1,1,1,1,1,,,,,0,1,63.0,5,1,1,0.34113712399999996,1
Burton Crakehall,Lannister,299.0,2.0,7.0,55.0,1,1,1,1,0,0,0,949,0,0,0.486,0.514,Ser,1,,,299.0,,,,House Crakehall,,1,1,1,1,0,,,,,0,1,,0,0,0,0.036789298,0
Butterbumps,House Tyrell,,,,6.0,1,0,0,0,1,0,0,1478,1,1,0.9229999999999999,0.077,,1,,,,,,,House Tyrell,,0,1,1,1,1,,,,,0,0,,0,0,0,0.036789298,1
Byam Flint,Night's Watch,299.0,3.0,33.0,33.0,1,0,0,0,1,0,0,393,0,1,0.7240000000000001,0.276,Ser,1,,,299.0,,,,Night's Watch,,0,0,1,0,0,,,,,0,1,,0,0,0,0.02006689,0
Byan Votyris,None,,,,54.0,1,0,1,0,0,0,0,392,1,0,0.494,0.506,,1,Norvoshi,,,,,,,,1,0,0,0,0,,,,,0,0,,0,0,0,0.0,1
Byron,Arryn,,,,41.0,1,0,0,0,0,1,0,395,1,1,0.9890000000000001,0.011000000000000001,Ser,0,,,,,,,House Baelish,,0,0,0,1,1,,,,,0,1,,0,0,0,0.02006689,1
Cadwyn,House Lannister,,,,47.0,1,0,0,1,0,0,0,399,1,1,0.703,0.297,Ser,0,,,,,,,House Lannister,,0,1,0,0,0,,,,,0,1,,0,0,0,0.0,1
Caleotte,House Martell,,,,2.0,1,0,0,0,0,1,1,1668,1,1,0.843,0.157,Maester,1,,,,,,,House Martell,,1,1,1,1,1,,,,,0,1,,0,0,0,0.040133779,1
Cayn,House Stark,298.0,1.0,49.0,4.0,1,0,1,0,0,0,0,953,0,0,0.198,0.802,,1,Northmen,,298.0,,,,House Stark,,1,1,0,0,0,,,,,0,0,,0,0,0,0.030100334,0
Cellador,Night's Watch,,,,48.0,1,0,1,0,1,0,1,1670,1,1,0.687,0.313,Septon,1,,,,,,,Night's Watch,,1,1,1,1,1,,,,,0,0,,0,0,0,0.033444816,1
Cersei Frey,None,,,,49.0,0,1,0,0,1,0,0,955,1,1,0.7609999999999999,0.239,,0,,292.0,,,,,House Frey,,0,1,1,1,0,,,,,0,0,13.0,0,0,0,0.133779264,1
Cersei Lannister,House Lannister,,,,4.0,0,1,1,1,1,1,1,1482,1,1,0.8340000000000001,0.166,Light of the West,0,Westerlands,266.0,,,,,House Lannister,Robert Baratheon,1,1,1,1,1,,,,1.0,1,1,39.0,9,1,1,1.0,1
Chataya,None,,,,15.0,0,0,0,1,0,0,0,1915,1,0,0.131,0.8690000000000001,,0,Summer Isles,,,,,,Chataya's brothel,,1,1,1,0,0,,,,,0,0,,0,0,0,0.073578595,1
Chayle,Stark,299.0,2.0,50.0,9.0,1,0,1,1,0,0,0,956,0,0,0.18,0.82,Septon,1,,,299.0,,,,,,1,1,1,0,0,,,,,0,0,,0,0,0,0.063545151,0
Chella,Lannister,,,,56.0,0,0,1,1,1,0,0,1671,1,0,0.271,0.7290000000000001,,0,Vale mountain clans,,,,,,Black Ears,,1,1,1,0,0,,,,,0,0,,0,0,0,0.036789298,1
Chett,Night's Watch,299.0,3.0,46.0,41.0,1,0,1,1,1,0,0,1480,0,0,0.085,0.915,,1,,,299.0,,,,Night's Watch,,1,1,1,0,0,,,,,0,0,,0,0,0,0.197324415,0
Chiggen,Lannister,298.0,1.0,42.0,31.0,1,0,1,0,0,0,0,413,0,1,0.574,0.426,,1,,,298.0,,,,,,1,0,0,0,0,,,,,0,0,,0,0,0,0.016722408,0
Chiswyck,None,299.0,2.0,30.0,26.0,1,0,0,1,0,0,0,1483,0,0,0.187,0.813,,0,,,299.0,,,,House Clegane,,0,1,1,0,0,,,,,0,0,,0,0,0,0.063545151,0
Clayton Suggs,Baratheon,,,,17.0,1,0,0,0,0,0,1,1481,1,1,0.687,0.313,Ser,1,,,,,,,House Suggs,,0,0,0,1,1,,,,,0,1,,0,0,0,0.043478261,1
Clement Piper,Tully,,,,38.0,1,1,0,0,0,1,0,959,1,1,0.953,0.047,Pinkmaiden,1,Rivermen,,,,,,House Piper,,1,0,1,1,1,,,,,0,1,,0,0,0,0.070234114,1
Cleos Frey,None,299.0,3.0,21.0,7.0,1,1,0,1,1,0,0,1190,0,0,0.46299999999999997,0.537,Ser,1,,258.0,299.0,,,,House Frey,Jeyne Darry,1,1,1,1,1,,,,1.0,1,1,41.0,0,0,0,0.24749163899999999,0
Cley Cerwyn,Stark,299.0,2.0,66.0,16.0,1,1,0,1,0,0,0,960,0,0,0.36700000000000005,0.633,Cerwyn,1,Northmen,284.0,299.0,,,,House Cerwyn,,0,1,1,1,1,,,,,0,1,15.0,1,1,0,0.073578595,0
